+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|               clk_fpga_0 |               clk_fpga_0 |                                      design_1_i/fcc2/inst/gmem_m_axi_U/wreq_throttle/throttl_cnt_reg[8]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                      design_1_i/fcc3/inst/gmem_m_axi_U/wreq_throttle/throttl_cnt_reg[8]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                       design_1_i/fcc3/inst/gmem_m_axi_U/bus_write/fifo_wreq/pout_reg[2]/D|
|               clk_fpga_0 |               clk_fpga_0 |                      design_1_i/loss_derivative_0/inst/gmem_m_axi_U/bus_write/buff_wdata/mOutPtr_reg[5]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                       design_1_i/fcc3/inst/gmem_m_axi_U/bus_write/fifo_wreq/pout_reg[1]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                       design_1_i/fcc3/inst/gmem_m_axi_U/bus_write/fifo_wreq/pout_reg[0]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                      design_1_i/fcc3/inst/gmem_m_axi_U/bus_write/fifo_wreq/data_vld_reg/D|
|               clk_fpga_0 |               clk_fpga_0 |                                       design_1_i/fcc1/inst/gmem_m_axi_U/bus_write/fifo_resp/pout_reg[3]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                       design_1_i/fcc1/inst/gmem_m_axi_U/bus_write/fifo_resp/pout_reg[2]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                        design_1_i/fcc3/inst/gmem_m_axi_U/bus_write/fifo_wreq/full_n_reg/D|
|               clk_fpga_0 |               clk_fpga_0 |                        design_1_i/fcc1/inst/gmem_m_axi_U/bus_write/bus_wide_gen.fifo_burst/data_vld_reg/D|
|               clk_fpga_0 |               clk_fpga_0 |                       design_1_i/update_weights_0/inst/gmem_m_axi_U/bus_write/buff_wdata/mOutPtr_reg[5]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                       design_1_i/fcc2/inst/gmem_m_axi_U/bus_write/fifo_wreq/pout_reg[0]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                      design_1_i/fcc2/inst/gmem_m_axi_U/bus_write/fifo_wreq/data_vld_reg/D|
|               clk_fpga_0 |               clk_fpga_0 |                         design_1_i/fcc1/inst/gmem_m_axi_U/bus_write/bus_wide_gen.fifo_burst/pout_reg[0]/D|
|               clk_fpga_0 |               clk_fpga_0 |                         design_1_i/fcc1/inst/gmem_m_axi_U/bus_write/bus_wide_gen.fifo_burst/pout_reg[2]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                       design_1_i/fcc2/inst/gmem_m_axi_U/bus_write/fifo_wreq/pout_reg[1]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                       design_1_i/fcc2/inst/gmem_m_axi_U/bus_write/fifo_wreq/pout_reg[2]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                      design_1_i/fcc2/inst/gmem_m_axi_U/wreq_throttle/throttl_cnt_reg[1]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                       design_1_i/fcc3/inst/gmem_m_axi_U/bus_write/fifo_resp/pout_reg[3]/D|
|               clk_fpga_0 |               clk_fpga_0 |                               design_1_i/InputLayer_0/inst/gmem_m_axi_U/bus_write/fifo_resp/pout_reg[2]/D|
|               clk_fpga_0 |               clk_fpga_0 |                               design_1_i/InputLayer_0/inst/gmem_m_axi_U/bus_write/fifo_resp/pout_reg[3]/D|
